            name                                                                                  rectangle_stable                                                                              rectangle_unstable                                                                                rectangle_fuselage                                    center
20-10-3  20-10-3    [{'a': [2697.792626513711, 1603.7970662909247], 'b': [2810.600187427721, 1699.2496178335477]}]                                                                                            None  [{'a': [2489.5325140570794, 1352.1494304058274], 'b': [2667.4213601137862, 1521.3607717768414]}]  [2467.8387523428464, 1703.5883701763946]
20-10-4  20-10-4                                                                                              None   [{'a': [2845.310206170493, 1655.862094405083], 'b': [3105.6353467412837, 1803.379674061864]}]   [{'a': [2454.822495314307, 1430.2469725770643], 'b': [2702.1313788565576, 1634.1683326908505]}]   [2545.936294514084, 1851.1059498331758]
20-5-4    20-5-4                                                                                              None  [{'a': [2858.3264631990323, 1681.894608462162], 'b': [3044.892813941432, 1816.3959310904038]}]   [{'a': [2519.9037804570044, 1412.8919632056786], 'b': [2723.8251405707906, 1655.862094405083]}]   [2537.258789828391, 1851.1059498331758]
20-10-6  20-10-6                                                                                              None   [{'a': [2945.1015100559625, 1777.347160004785], 'b': [3500.461809940315, 2081.059824004041]}]                                                                                              None   [2615.3563319996283, 2115.769842746813]
20-10-2  20-10-2                                                                                              None                                                                                            None                                                                                              None                                      None
20-5-5    20-5-5                                                                                              None   [{'a': [2875.681472570418, 1707.927122519241], 'b': [3318.234211540762, 1963.9135107471852]}]   [{'a': [2515.565028114158, 1577.7645522338457], 'b': [2767.2126639992557, 1820.7346834332502]}]   [2558.952551542623, 1985.6072724614176]
20-5-6    20-5-6                                                                                              None    [{'a': [2906.052738970344, 1725.2821318906272], 'b': [3435.380524797618, 2107.09233806112]}]                                                                                              None  [2576.3075609140096, 2111.4310904039667]
20-5-2    20-5-2                                                                                              None                                                                                            None                                                                                              None                                      None
20-10-7  20-10-7                                                                                              None  [{'a': [2992.827785827274, 1807.7184264047105], 'b': [3674.0119036541755, 2098.414833375427]}]                                                                                              None   [2680.4376171423255, 2198.206137260897]
20-10-5  20-10-5                                                                                              None  [{'a': [2888.697729598958, 1681.894608462162], 'b': [3418.0255154262322, 1963.9135107471848]}]  [{'a': [2424.4512289143813, 1534.3770288053806], 'b': [2754.1964069707165, 1755.6533982905526]}]  [2593.6625702853953, 1998.6235294899573]
20-5-3    20-5-3  [{'a': [2723.8251405707906, 1595.1195616052319], 'b': [2862.6652155418788, 1725.2821318906272]}]                                                                                            None   [{'a': [2532.9200374855445, 1300.0844022916694], 'b': [2684.776369485172, 1460.6182389769901]}]    [2515.565028114158, 1707.927122519241]
20-5-7    20-5-7                                                                                              None    [{'a': [2940.762757713116, 1777.347160004785], 'b': [3639.301884911404, 2185.189880232357]}]                                                                                              None   [2598.0013226282417, 2211.222394289436]
