          name                                                                                 rectangle_stable                                                                               rectangle_unstable                                                                                rectangle_fuselage                                    center
25-0-3  25-0-3  [{'a': [2732.5026452564834, 1577.7645522338457], 'b': [2827.9551967991065, 1638.507085033697]}]                                                                                             None                                                                                              None   [2567.630056228316, 1651.5233420622367]
15-0-4  15-0-4  [{'a': [2936.4240053702697, 1681.894608462162], 'b': [3083.9415850270507, 1803.3796740618645]}]                                                                                             None                                                                                              None   [2558.952551542623, 1842.4284451474828]
15-0-3  15-0-3   [{'a': [2797.5839303991816, 1647.1845897193898], 'b': [2940.762757713116, 1712.265874862088]}]                                                                                             None                                                                                              None    [2571.968808571163, 1742.637141262013]
20-0-5  20-0-5                                                                                             None  [{'a': [2910.3914913131903, 1720.9433795477805], 'b': [3192.410393598213, 1933.5422443472596]}]  [{'a': [2598.0013226282417, 1660.2008467479295], 'b': [2762.8739116564093, 1881.4772162331014]}]  [2554.6137991997766, 2002.9622818328037]
20-0-4  20-0-4  [{'a': [2880.0202249132644, 1660.2008467479295], 'b': [3049.2315662842784, 1825.073435776097]}]                                                                                             None    [{'a': [2550.27504685693, 1434.5857249199112], 'b': [2775.8901686849485, 1686.2333608050085]}]   [2563.2913038854695, 1859.783454518869]
25-0-5  25-0-5                                                                                             None   [{'a': [2797.5839303991816, 1660.2008467479295], 'b': [3244.475421712372, 1972.591015432878]}]                                                                                              None   [2545.936294514084, 2028.9947958898827]
25-0-6  25-0-6                                                                                             None    [{'a': [2862.6652155418788, 1759.992150633399], 'b': [3422.3642677690787, 2107.09233806112]}]                                                                                              None   [2541.5975421712374, 2176.512375546664]
20-0-2  20-0-2                                                                                             None                                                                                             None                                                                                              None                                      None
15-0-5  15-0-5  [{'a': [3005.8440428558133, 1746.9758936048597], 'b': [3222.781659998139, 1924.8647396615665]}]                                                                                             None                                                                                              None    [2545.936294514084, 1963.913510747185]
25-0-4  25-0-4   [{'a': [2797.5839303991816, 1586.442056919539], 'b': [3057.9090709699713, 1859.783454518869]}]                                                                                             None                                                                                              None   [2558.952551542623, 1855.4447021760225]
15-0-2  15-0-2                                                                                             None                                                                                             None                                                                                              None                                      None
15-0-7  15-0-7                                                                                             None   [{'a': [3062.2478233128186, 1764.3309029762459], 'b': [3409.3480107405385, 2094.07608103258]}]                                                                                              None     [2537.258789828391, 2094.07608103258]
15-0-6  15-0-6                                                                                             None   [{'a': [3036.215309255739, 1725.2821318906272], 'b': [3365.9604873120734, 1998.623529489957]}]                                                                                              None   [2537.258789828391, 2063.7048146326547]
20-0-3  20-0-3   [{'a': [2745.5189022850227, 1608.1358186337716], 'b': [2875.681472570418, 1707.927122519241]}]                                                                                             None   [{'a': [2541.5975421712374, 1334.7944210344413], 'b': [2814.9389397705672, 1538.715781148227]}]  [2563.2913038854695, 1703.5883701763946]
20-0-6  20-0-6                                                                                             None  [{'a': [2923.4077483417295, 1742.6371412620133], 'b': [3357.2829826263805, 2055.027309946962]}]   [{'a': [2545.936294514084, 1703.5883701763946], 'b': [2884.3589772561118, 2059.3660622898083]}]    [2545.936294514084, 2115.769842746813]
20-0-7  20-0-7                                                                                             None    [{'a': [3010.1827951986597, 1807.718426404711], 'b': [3565.543095083013, 2137.463604461045]}]  [{'a': [2615.3563319996283, 1942.2197490329522], 'b': [2923.4077483417295, 2232.9161560036687]}]   [2545.936294514084, 2189.5286325752036]
25-0-7  25-0-7                                                                                             None   [{'a': [2906.052738970344, 1881.4772162331017], 'b': [3587.2368567972453, 2250.271165375055]}]                                                                                              None   [2532.9200374855445, 2250.271165375055]
25-0-2  25-0-2                                                                                             None                                                                                             None                                                                                              None                                      None
